Date,HCLTECH,HINDALCO,ULTRACEMCO,UPL,JSWSTEEL,HDFCLIFE,NESTLEIND,TATACONSUM,TATASTEEL,GRASIM,KOTAKBANK,HDFC,HDFCBANK,ICICIBANK,DRREDDY,ADANIENT,BHARTIARTL,INFY,BRITANNIA,SBIN,AXISBANK,WIPRO,SBILIFE,LT,TECHM,BAJAJFINSV,TATAMOTORS,APOLLOHOSP,ONGC,BAJFINANCE,TITAN,BAJAJ-AUTO,M&M,ADANIPORTS,INDUSINDBK,BPCL,COALINDIA,RELIANCE,HINDUNILVR,DIVISLAB,TCS,HEROMOTOCO,SUNPHARMA,ASIANPAINT,CIPLA,POWERGRID,ITC,MARUTI,NTPC,EICHERMOT
3/19/2018,414.3355713,207.5519562,3897.652588,441.4058533,242.9327545,421.5761108,7044.093262,250.0179596,23.32986641,1068.891968,1046.749634,1652.888794,895.7322388,286.0287781,2006.391602,86.24507141,358.7810364,505.311676,2172.476807,241.9065094,518.0172119,211.8887024,665.1942749,1167.905151,523.6825562,495.4621582,335.7000122,1038.740601,130.2397766,1613.976563,845.8245239,2434.754395,708.1808472,353.3812256,1674.674561,317.8935547,173.9349213,868.104187,1207.739258,1048.040527,1270.238525,2931.509521,474.0725403,1065.621704,546.7107544,110.5308685,212.0538788,8317.516602,104.7039871,2451.283936
3/20/2018,419.1206665,210.2122498,3862.723145,447.9780273,244.5603485,418.5570679,7207.848145,251.4090729,24.06228447,1066.848145,1043.057617,1676.687744,891.9743042,283.5525818,2041.694702,86.43302917,359.4543152,513.1553345,2176.762695,243.0284882,519.6625977,215.5223694,677.5291138,1180.638062,543.8604736,507.1812744,338.7999878,1025.562378,128.2145844,1639.147827,848.5010376,2454.876953,706.5123291,358.9103699,1672.579712,313.5762329,172.6254425,862.5784912,1211.290405,1054.205444,1285.426636,2930.258301,484.6466675,1069.439331,540.0203857,110.9292526,212.0948181,8344.916016,104.3278046,2536.926025
3/21/2018,419.1877136,207.6970673,3923.948242,449.6131897,247.0444641,418.2105713,7218.694824,252.5123749,23.62607765,1065.485352,1048.845215,1693.267822,901.3813477,280.8335876,2027.07251,87.10430908,375.434082,514.4552002,2181.003906,241.9552917,524.8482666,216.7335815,664.0101929,1195.105103,537.3776855,512.2373047,333.8500061,1011.449463,129.2824402,1685.880249,848.9877319,2436.762451,710.7077637,352.7991943,1686.999878,317.8197632,173.0406342,869.4613037,1213.457886,1046.065796,1281.792358,2888.395508,480.5980225,1066.588257,538.2133789,110.5308685,211.9720459,8413.411133,106.8043365,2502.969727
3/22/2018,416.146759,209.7285614,3851.291748,450.8710327,244.9886475,423.1598206,7207.20459,248.3390198,23.57130241,1063.733521,1050.790894,1688.78833,905.6727295,275.0556946,1995.459961,85.62750244,373.0999756,511.7232666,2182.695313,235.6625061,516.7706299,211.7419128,656.1158447,1183.148193,531.5390015,511.0743103,338.2000122,1005.401123,131.749527,1677.02832,863.8796997,2422.364746,696.8816528,347.5125732,1708.093994,306.048645,172.0825043,880.3671875,1209.999023,1029.545654,1270.395508,2878.97168,484.3132935,1070.019165,528.1532593,109.6771317,211.3583374,8244.567383,107.1805115,2507.411133
3/23/2018,428.1542053,199.3775787,3800.858887,443.2297058,244.9886475,424.7930603,7164.047852,247.4275665,22.98698997,1053.708374,1036.571533,1670.169556,892.9682617,267.5784302,1961.386353,81.86837006,370.4964905,514.4992676,2183.349121,229.0770264,498.1222229,208.9524384,655.7211304,1157.271973,535.2311401,511.7580566,330.8500061,991.6817627,130.6448517,1666.840942,871.1796875,2383.913818,698.8364868,351.5381775,1704.586548,305.1261902,172.4338531,866.5530396,1200.590942,999.5878296,1264.472656,2846.823486,478.5975342,1075.383301,525.8581543,110.5593185,209.4763641,8159.907227,106.6162415,2495.388672
3/26/2018,432.4697571,203.6824341,3875.674072,455.5878906,251.7557678,433.1077881,7196.450195,251.553009,23.59767342,1051.761841,1037.120483,1708.01355,918.1345825,273.5019836,1991.390137,87.93667603,378.3966064,509.0573425,2191.628174,240.4918671,505.9006653,201.1346436,654.3395996,1184.197998,532.6983032,514.1888428,332.3500061,988.4363403,131.749527,1722.524414,914.0062866,2434.070557,711.8043213,354.2057495,1714.573242,309.6279602,174.6694946,873.5328369,1221.482666,1016.445068,1263.956787,2903.489258,479.3596497,1080.119263,529.178894,110.9292526,211.1947327,8309.743164,106.49086,2493.32666
3/27/2018,434.705719,211.3731232,3903.736084,463.3865051,255.9960022,444.0951233,7457.180176,253.0879974,23.94055367,1059.791504,1047.597778,1701.480713,917.7224121,275.6868591,1989.922852,85.86915588,370.9454041,508.5064392,2239.80957,248.150528,510.7872009,201.1713409,664.0595093,1193.462158,533.7715454,524.9595947,331.1499939,1012.826294,132.2650146,1753.036499,917.2670288,2391.04834,710.2786865,354.5452576,1742.292847,310.5135498,176.4261169,872.272583,1229.32251,1047.703247,1277.731445,2889.312744,481.1695862,1093.215332,532.3532104,111.5268784,211.8493195,8392.22168,107.2432175,2542.619873
3/28/2018,433.1628418,207.5519562,3875.674072,459.2670898,246.830307,449.8362427,7540.689453,248.2430878,23.17161751,1022.85437,1045.552246,1703.76709,914.5705566,270.2974854,1969.195068,83.98959351,357.9281921,498.7242126,2242.426025,243.8089752,509.0918884,206.3832092,669.2894287,1196.519775,548.4112549,516.2351685,326.8500061,1047.051147,130.9394226,1748.190308,917.1695557,2345.249268,704.5575562,343.486969,1750.623413,315.4581604,180.9612885,855.6957397,1229.82959,1050.159546,1278.382324,2954.442627,471.6433716,1082.873657,532.7438965,109.9901276,209.067215,8400.564453,106.3968124,2538.01709
4/2/2018,438.0374756,204.3595886,3903.637695,473.1976318,254.0257568,477.749939,7637.572754,265.7040405,23.48609161,1060.18103,1094.197754,1715.386108,936.4395752,254.2748108,2017.986206,86.40618134,354.6963196,501.0815125,2303.984131,240.1503754,497.6734314,212.6228027,674.8648071,1219.384399,549.7850342,525.8031006,339.1499939,1080.046509,132.5227814,1798.681152,918.9216309,2400.148682,713.2822266,358.6194153,1758.271729,312.4692383,177.2564697,865.6322021,1246.38623,1050.304199,1305.52771,3040.503662,483.7893372,1111.627319,562.826355,110.9292526,211.3174438,8540.018555,106.8356934,2530.512451
4/3/2018,433.4535522,201.1672363,3876.851807,481.5307617,259.5937195,488.5887756,7669.745605,263.6412964,23.52260971,1058.866943,1100.93335,1703.860107,929.0205688,262.2375793,2011.171265,87.21170044,361.0702515,502.535675,2300.712891,244.3943634,500.1665344,208.401886,672.984375,1214.318481,528.8772583,537.2027588,343.1000061,1077.735229,130.7184753,1814.15979,907.0956421,2385.665283,734.307373,355.4182739,1782.727417,314.5726013,178.1826935,872.0302124,1243.711182,1068.461792,1306.245605,3039.62793,485.8374329,1113.511963,557.0149536,113.0066986,211.5220184,8557.321289,106.1773834,2503.78833
